                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.78744,                0.64353,                0.07177,                 0.5693,                0.47255,                0.50811,                0.26224,                0.61732,                0.78901,                0.04898,               0.007624,               0.007624,               0.007624
                     38,                0.74338,                0.64785,                0.06763,                0.55895,                0.44483,                0.50634,                 0.2601,                 0.6056,                0.80161,                0.04777,               0.007558,               0.007558,               0.007558
                     39,                0.74413,                 0.6354,                0.06742,                0.52282,                0.48941,                0.51858,                0.25323,                 0.6127,                0.79996,                0.04899,               0.007492,               0.007492,               0.007492
                     40,                0.75507,                0.64883,                0.06679,                0.53093,                0.45171,                0.48525,                0.22998,                0.66157,                0.77682,                0.05256,               0.007426,               0.007426,               0.007426
                     41,                0.73714,                0.62808,                0.06686,                0.52556,                0.45323,                0.49594,                0.24565,                0.62653,                0.78935,                0.04937,                0.00736,                0.00736,                0.00736
                     42,                0.74614,                0.62157,                0.06557,                0.57293,                0.44193,                0.50447,                0.25742,                0.63001,                0.77555,                0.04985,               0.007294,               0.007294,               0.007294
                     43,                0.67305,                0.61763,                0.05916,                0.60418,                0.51359,                0.55751,                0.29904,                0.59963,                0.76856,                0.04708,               0.007228,               0.007228,               0.007228
                     44,                0.78954,                0.63842,                0.07058,                0.59656,                0.48449,                0.54055,                0.27153,                0.59866,                 0.7783,                0.04685,               0.007162,               0.007162,               0.007162
                     45,                0.77405,                0.63375,                0.06903,                0.56829,                 0.4568,                0.52151,                0.25796,                0.63029,                0.76282,                0.04894,               0.007096,               0.007096,               0.007096
                     46,                0.69324,                0.62801,                0.05982,                0.54459,                0.45695,                0.51418,                0.26468,                0.61948,                0.77283,                0.04686,                0.00703,                0.00703,                0.00703
                     47,                0.70194,                0.64349,                0.06159,                0.61461,                0.49594,                0.54731,                0.28097,                0.61216,                 0.7728,                0.04617,               0.006964,               0.006964,               0.006964
                     48,                0.81874,                0.63441,                 0.0724,                0.58804,                0.47487,                0.53129,                0.27194,                0.61349,                0.77933,                0.04732,               0.006898,               0.006898,               0.006898
                     49,                0.77813,                 0.6406,                0.06831,                0.57971,                0.44554,                0.50483,                0.25107,                0.62156,                0.78716,                 0.0476,               0.006832,               0.006832,               0.006832
                     50,                0.76961,                0.65067,                0.06673,                 0.5618,                0.45816,                0.50154,                0.24798,                0.61432,                0.80366,                0.04726,               0.006766,               0.006766,               0.006766
                     51,                0.75749,                0.66225,                0.06816,                0.57165,                0.45173,                0.49493,                0.23544,                0.63277,                0.80162,                 0.0481,                 0.0067,                 0.0067,                 0.0067
                     52,                0.82363,                0.63876,                0.07543,                0.56554,                0.42834,                0.47789,                0.23393,                0.63328,                 0.8065,                0.04795,               0.006634,               0.006634,               0.006634
                     53,                0.73921,                0.65823,                0.06469,                 0.5467,                0.41003,                0.47718,                0.23286,                0.63224,                0.80955,                0.04801,               0.006568,               0.006568,               0.006568
                     54,                0.79534,                0.64029,                0.07017,                0.56533,                0.42183,                0.48982,                0.24028,                0.60918,                0.82308,                0.04751,               0.006502,               0.006502,               0.006502
                     55,                0.81264,                0.64588,                0.07494,                0.58626,                0.41181,                0.48843,                0.24658,                0.61263,                0.80981,                0.04749,               0.006436,               0.006436,               0.006436
                     56,                0.71338,                0.64656,                0.06244,                0.53678,                0.40194,                0.47751,                0.23611,                0.61821,                0.81095,                0.04802,                0.00637,                0.00637,                0.00637
                     57,                0.71446,                0.63626,                0.06052,                0.52987,                0.41798,                0.48662,                0.24101,                0.61663,                0.80538,                0.04801,               0.006304,               0.006304,               0.006304
                     58,                0.79556,                0.65961,                0.07104,                0.54965,                0.41538,                0.48843,                0.24431,                0.61346,                0.80575,                0.04778,               0.006238,               0.006238,               0.006238
                     59,                0.72644,                0.68364,                0.06162,                 0.5508,                0.42474,                0.48891,                0.24938,                0.60226,                0.80601,                0.04691,               0.006172,               0.006172,               0.006172
                     60,                 0.7473,                0.65102,                0.06432,                0.53082,                0.42255,                0.48215,                0.24335,                0.60518,                0.80953,                0.04681,               0.006106,               0.006106,               0.006106
                     61,                0.70382,                0.64287,                0.06062,                0.52957,                0.43072,                0.48547,                0.24828,                0.60403,                0.80316,                0.04657,                0.00604,                0.00604,                0.00604
                     62,                0.75566,                 0.6358,                0.06369,                0.53176,                0.43062,                0.48449,                0.24876,                0.60277,                0.80263,                0.04637,               0.005974,               0.005974,               0.005974
                     63,                0.75282,                0.65105,                0.06351,                0.55241,                0.42024,                0.48098,                0.25102,                0.60258,                 0.8023,                0.04628,               0.005908,               0.005908,               0.005908
                     64,                0.82814,                0.68847,                  0.075,                0.53429,                 0.4154,                0.47331,                0.24177,                0.61325,                0.80068,                0.04663,               0.005842,               0.005842,               0.005842
                     65,                0.79427,                0.66843,                0.06865,                0.56201,                0.41413,                0.47945,                0.24582,                0.61268,                 0.7985,                0.04635,               0.005776,               0.005776,               0.005776
                     66,                0.73557,                0.67229,                0.06248,                0.58235,                0.40651,                0.47489,                0.24445,                 0.6166,                0.79822,                0.04655,                0.00571,                0.00571,                0.00571
                     67,                0.76775,                0.64197,                0.06458,                0.59339,                0.40024,                0.47213,                0.24276,                0.62387,                0.79624,                0.04678,               0.005644,               0.005644,               0.005644
                     68,                0.71097,                0.66502,                0.06048,                0.59881,                0.39301,                0.47036,                0.24332,                0.63063,                0.78887,                0.04704,               0.005578,               0.005578,               0.005578
