                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1152,                0.69167,                 0.0728,                0.48614,                0.19399,                0.12028,                0.05437,                0.68165,                 1.0083,                0.03992,               0.008812,               0.008812,               0.008812
                     38,                 1.0187,                0.76031,                0.06411,                0.50013,                0.19191,                0.13449,                0.06666,                0.63476,                 1.0696,                 0.0385,               0.008779,               0.008779,               0.008779
                     39,                 1.0346,                0.74283,                0.06398,                  0.445,                0.16411,                0.09272,                0.03682,                0.77903,                  0.973,                0.04712,               0.008746,               0.008746,               0.008746
                     40,                0.99121,                0.77563,                0.06245,                0.50882,                 0.1381,                0.10389,                0.04663,                0.72849,                 1.0314,                0.04484,               0.008713,               0.008713,               0.008713
                     41,                 1.0356,                0.74503,                0.06512,                0.48333,                0.19518,                0.14779,                0.06901,                0.66814,                 1.0393,                0.03866,                0.00868,                0.00868,                0.00868
                     42,                 1.0375,                0.73611,                0.06224,                0.51932,                0.21044,                0.14499,                 0.0691,                0.62789,                 1.0386,                0.03792,               0.008647,               0.008647,               0.008647
                     43,                 1.0539,                0.73654,                0.06586,                 0.5224,                0.20765,                0.15466,                0.07438,                0.60057,                 1.0734,                0.03559,               0.008614,               0.008614,               0.008614
                     44,                 1.0027,                0.75744,                0.06036,                0.44341,                0.21723,                0.15453,                0.07221,                0.60201,                 1.0613,                0.03626,               0.008581,               0.008581,               0.008581
                     45,                 1.1022,                0.69802,                0.07017,                 0.4843,                0.20301,                0.13648,                 0.0587,                0.66434,                 1.0316,                0.04171,               0.008548,               0.008548,               0.008548
                     46,                 1.0482,                0.73553,                0.06657,                0.48767,                0.22288,                0.14928,                 0.0748,                0.60096,                 1.0811,                0.03696,               0.008515,               0.008515,               0.008515
                     47,                 1.0901,                0.69143,                0.06974,                0.46826,                0.22317,                 0.1447,                0.07074,                0.63671,                 1.0473,                0.03893,               0.008482,               0.008482,               0.008482
                     48,                0.99675,                0.75458,                0.05979,                0.54482,                0.20479,                0.14852,                0.07569,                0.62119,                 1.0398,                 0.0368,               0.008449,               0.008449,               0.008449
                     49,                0.97962,                0.76968,                0.06119,                0.52373,                0.20554,                 0.1529,                0.07895,                0.60182,                 1.0768,                0.03566,               0.008416,               0.008416,               0.008416
                     50,                0.99773,                 0.7635,                0.05738,                0.53533,                0.22794,                0.17914,                0.08655,                0.59975,                 1.0074,                0.03425,               0.008383,               0.008383,               0.008383
                     51,                 1.0038,                0.74781,                0.05819,                0.52495,                0.22392,                0.16004,                0.07442,                 0.6809,                0.95479,                0.03985,                0.00835,                0.00835,                0.00835
                     52,                 1.1204,                0.68405,                0.07153,                0.50153,                0.21269,                0.14027,                0.06335,                0.62311,                 1.0727,                0.04172,               0.008317,               0.008317,               0.008317
                     53,                 1.1192,                0.68609,                0.06981,                 0.4287,                0.22033,                0.15598,                0.08119,                0.63676,                 1.0133,                0.03921,               0.008284,               0.008284,               0.008284
                     54,                 1.0642,                0.70251,                0.06855,                0.53318,                0.23345,                0.18007,                  0.094,                0.58122,                 1.0611,                0.03424,               0.008251,               0.008251,               0.008251
                     55,                0.96375,                0.76795,                0.05587,                0.48955,                0.26413,                0.18273,                0.09863,                0.55609,                 1.0415,                0.03202,               0.008218,               0.008218,               0.008218
                     56,                 0.9611,                 0.7743,                  0.056,                0.54864,                0.24368,                0.17924,                0.10206,                0.50567,                 1.1333,                0.03127,               0.008185,               0.008185,               0.008185
                     57,                0.96992,                0.76681,                 0.0542,                0.53279,                0.24214,                 0.1819,                0.09465,                0.58519,                 1.0439,                 0.0334,               0.008152,               0.008152,               0.008152
                     58,                 1.0112,                 0.7302,                0.06008,                0.54545,                0.24109,                 0.1858,                0.09802,                0.58806,                 1.0276,                0.03415,               0.008119,               0.008119,               0.008119
                     59,                 1.0081,                 0.7232,                0.05717,                0.50539,                0.25801,                0.18185,                0.09466,                 0.6205,                0.96702,                0.03545,               0.008086,               0.008086,               0.008086
                     60,                0.97136,                 0.7537,                0.05512,                 0.4668,                0.27143,                0.20278,                0.10832,                0.54462,                 1.0524,                0.03135,               0.008053,               0.008053,               0.008053
                     61,                  1.027,                 0.7139,                0.05777,                0.48998,                 0.2677,                0.20553,                0.10761,                0.59283,                 1.0157,                0.03275,                0.00802,                0.00802,                0.00802
